,name,price,area_m2,date,floor_number,age,bath_number,district,room_number,total_floor_number,age_new,district_new,room_number_new,area_new
78,SALİHLİ CİN EMLAK'TAN KIRVELİ MAH 3+1 140 M2  DOĞALGAZLI KİRALIK DAİRE,12.0,140.0,04-11-2023,2.0,9.0,1,Kırveli,3 + 1,5.0,1.0,1.0,3.0,5.0
79,KİRALIK DAİRE,15.0,100.0,27-10-2023,4.0,8.0,2,Atatürk,2 + 1,7.0,1.0,2.0,2.0,4.0
80,Uncubozkoy Villalar Bölgesinde Kiralık 3+1 Bahçeli Daire,18.5,130.0,13-11-2023,1.0,8.0,1,Uncubozköy,3 + 1,3.0,1.0,1.0,3.0,5.0
81,Kiralik istiklal mh limoncu cami civari zemin kat 2+1 85m2,5.0,90.0,11-11-2023,1.0,25.0,1,İstiklal,2 + 1,4.0,4.0,3.0,2.0,3.0
82,Manisa cbü kampüs toki kiralık daire,18.0,190.0,29-10-2023,4.0,6.0,2,Bağyolu,4 + 1,7.0,1.0,0.0,4.0,6.0
83,REİS GAYRİMENKUL'DEN KİRALIK DAİRE,11.0,125.0,23-10-2023,4.0,5.0,2,Şehitler,3 + 1,4.0,0.0,2.0,3.0,4.0
84,MANİSA MEYDAN DOĞA VE ŞEHİR MANZARALI EŞYALI 1+1 KİRALIK DAİRE,14.0,45.0,06-11-2023,11.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
85,2 yıllık masrafsız kiralık daire açık mutfak,11.0,85.0,02-11-2023,2.0,2.0,1,Güzelyurt,2 + 1,5.0,0.0,0.0,2.0,2.0
86,Akhisar Hürriyet Mahallesi'nde 3+1 Kiralık Daire,9.0,135.0,11-11-2023,2.0,20.0,1,Hürriyet,3 + 1,4.0,3.0,2.0,3.0,5.0
87,DİALOG DOSTLARDAN EŞYALI KİRALIK KUSURSUZ DAİRE,10.0,130.0,26-09-2023,1.0,5.0,1,Atatürk,2 + 1,4.0,0.0,2.0,2.0,5.0
88,1+1 Eşyalı Kiralık Daire,12.0,70.0,10-11-2023,2.0,5.0,1,Muradiye,1 + 1,3.0,0.0,1.0,1.0,2.0
89,BEYZA GM'DEN MANİSA MEYDAN PROJESİNDE EŞYALI KİRALIK 1+1 DAİRE,13.5,45.0,15-10-2023,8.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
90,Kiralık arakat köşe daire,8.0,150.0,11-11-2023,3.0,27.0,1,Selvilitepe,3 + 1,8.0,5.0,2.0,3.0,6.0
91,DİALOG DOSTLARDAN EŞYALI KİRALIK DAİRE,7.0,70.0,27-09-2023,2.0,5.0,1,Paşa,2 + 1,3.0,0.0,2.0,2.0,2.0
92,Kiralık Daire Peker mahlesi,11.5,100.0,29-10-2023,2.0,25.0,1,1. Anafartalar,2 + 1,5.0,4.0,0.0,2.0,4.0
93,TURGUTLU SELVİLİTEPE MH YOLA YAKIN 3+1 DOĞALGAZLI KİRALIK DAİRE,10.0,125.0,01-11-2023,4.0,4.0,1,Selvilitepe,3 + 1,4.0,0.0,2.0,3.0,4.0
94,MANİSA SALİHLİ KİPA ARKASINDA KİRALIK 3+1 DOĞALGAZ ISITMALI DAİRE,10.0,135.0,20-10-2023,1.0,7.0,2,Şehitler,3 + 1,4.0,1.0,2.0,3.0,5.0
95,YARASANLAR MAH MASKİ CİVARI KİRALIK SIFIR  2+1 ÇATI DUBLEKS,13.5,120.0,20-10-2023,5.0,0.0,2,Yarhasanlar,2 + 1,5.0,0.0,2.0,2.0,4.0
96,MANİSA MEYDAN HAVUZ VE PEYZAJ MANZARALI FIRSAT 1+1 KİRALIK DAİRE,12.0,45.0,02-11-2023,2.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
97,UZUN EMLAK'TAN ULUPARK'A 3 DK MESAFEDE ŞEHİR MEREZİNDE 3+1 DOĞALGAZLI,10.0,105.0,16-10-2023,4.0,25.0,1,Yarhasanlar,3 + 1,5.0,4.0,2.0,3.0,4.0
98,ŞEHİTLER MAHALLESİNDE KİRALİK DAİRE,10.5,160.0,31-10-2023,2.0,14.0,1,Kurtuluş,3 + 1,4.0,2.0,2.0,3.0,6.0
99,teyfikiye mah SGK karşısı kiralık klima ve doğalgaz,11.0,130.0,12-11-2023,3.0,25.0,2,Merkez Efendi,3 + 1,6.0,4.0,2.0,3.0,5.0
100,AKHİSAR GÜRBÜZ EMLAK TAN KETHÜDA MAHALLESİ HERGELEN MEYDANINDA 5.KAT SOBALI KİRALIK DAİRE,4.0,127.0,13-11-2023,5.0,30.0,1,Kethüda,3 + 1,5.0,5.0,3.0,3.0,4.0
101,Eski garajın orada kiralık ev Dinçer Mahallesi,8.0,140.0,09-11-2023,2.0,18.0,1,Dinçer,3 + 1,4.0,3.0,3.0,3.0,5.0
102,ÖZ ELİT EMLAK'TAN GÖKTAŞLI MAH. KİRALIK DOĞALGAZLI ARA KAT,10.0,115.0,24-10-2023,3.0,30.0,1,Göktaşlı,3 + 1,5.0,5.0,2.0,3.0,4.0
103,KİRALIK KOMBİLİ ÜNİVERSİTEYE YAKINYENİ TADİLATLI DAİRE,10.5,114.0,09-11-2023,1.0,20.0,1,Yılmazlar,2 + 1,4.0,3.0,2.0,2.0,4.0
104,"DARÇIN ""DAN KİRALIK DAİRE",8.0,130.0,12-10-2023,2.0,35.0,1,Yılmazlar,3 + 1,5.0,5.0,2.0,3.0,5.0
105,TAHİRÜN  CADDESİNDE KİRALIK DAİRE,13.0,170.0,06-11-2023,2.0,20.0,1,Paşa,2 + 1,5.0,3.0,2.0,2.0,6.0
106,3+1 16.kat full 170 M2  kiralık,9.0,170.0,12-11-2023,16.0,0.0,2,Hürriyet,3 + 1,4.0,0.0,2.0,3.0,6.0
107,alaybey beşyol cadde üzeri asansörlü kiralık daire,10.5,85.0,10-11-2023,2.0,20.0,1,Alaybey,2 + 1,5.0,3.0,2.0,2.0,2.0
108,KOÇAK'TAN SIFIR TADİLATLI/3+1 KİRALIK ZEMİN KOMBİLİ DAİRE,15.0,115.0,25-10-2023,1.0,22.0,1,Uncubozköy,3 + 1,3.0,4.0,1.0,3.0,4.0
109,KİRALİK SEHITLER MH ARAKAT DAIRE 2+1,6.0,95.0,08-11-2023,2.0,20.0,1,Şehitler,2 + 1,4.0,3.0,2.0,2.0,3.0
110,FİYAT DÜŞTÜ! ÖZ ELİT EMLAK'TAN MERKEZ EFENDİ MAH. KİRALIK DAİRE,11.0,120.0,01-11-2023,6.0,17.0,1,Merkez Efendi,2 + 1,6.0,3.0,2.0,2.0,4.0
111,Kiralık her yere yakın merkezde daire,14.0,110.0,02-11-2023,2.0,20.0,1,Tevfikiye,3 + 1,4.0,3.0,1.0,3.0,4.0
112,KİRALIK DAİRE TAHİRÜN CADDESİNDE,13.0,170.0,06-11-2023,2.0,20.0,1,Paşa,2 + 1,5.0,3.0,2.0,2.0,6.0
113,Cumhuriyet MH Kervan Yoluna yakın FULL Lüks çatı dubleksi,25.0,280.0,11-11-2023,4.0,1.0,2,Cumhuriyet,5 + 2,4.0,0.0,0.0,4.0,6.0
114,PEKER MAHALLESİNDE KİRALIK SIFIR DAİRE,15.0,120.0,10-11-2023,2.0,1.0,1,Peker,3 + 1,4.0,0.0,0.0,3.0,4.0
115,Manisa mega1 kombili asansorlu otoparklı Kiralık daire,11.5,130.0,11-11-2023,10.0,18.0,1,Hafsa Sultan,3 + 1,4.0,3.0,2.0,3.0,5.0
116,BluEstate'ten EKMAS MANİSA'da 1+1 EŞYALI KİRALIK,12.5,40.0,01-11-2023,1.0,0.0,1,Muradiye,1 + 1,2.0,0.0,1.0,1.0,0.0
117,AKHİSAR HÜRRİYET MAH KİRALIK DAIRE,8.5,140.0,08-11-2023,2.0,18.0,1,Hürriyet,3 + 1,5.0,3.0,2.0,3.0,5.0
118,2+1 full eşyalı öğrenci evi,15.0,75.0,29-09-2023,3.0,12.0,1,Kurtuluş,2 + 1,4.0,2.0,2.0,2.0,2.0
119,Manisa Meydan Projesi'nde Havuz Cepheli Bahçe Katı Çok Keyifli Kiralik 1+1,12.75,55.0,09-11-2023,1.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
120,MANİSA ŞEHZADELER SANCAKLI BOZKÖY TOKİDE MANİSAYA 15 KM MESAFEDE 2+1 85M2 5.500 TL,5.5,85.0,13-11-2023,3.0,0.0,1,Sancaklıbozköy,2 + 1,3.0,0.0,3.0,2.0,2.0
121,AKHİSAR GÜRBÜZ EMLAK TAN ATATÜRK MAHALLESİ UMUT PARKI YAKINI 3.KAT DOĞALGAZLI KİRALIK DAİRE,10.0,135.0,10-11-2023,3.0,15.0,1,Atatürk,3 + 1,3.0,2.0,2.0,3.0,5.0
122,Manisa Yunusemre Tevfikiye Mahallesinde 2+1 Kiralık Daire,12.5,70.0,12-10-2023,1.0,3.0,1,Merkez Efendi,2 + 1,5.0,0.0,2.0,2.0,2.0
123,Manisa Meydan Sitesinde Kiralık 1+1 Daire,11.0,45.0,23-10-2023,13.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
124,Fatih Parkı Karsısında 4+1 Açık Mutfaklı Lüks Kiralık Daire,25.0,170.0,13-11-2023,5.0,16.0,1,1. Anafartalar,3 + 1,5.0,3.0,0.0,3.0,6.0
125,KİRALlK DAİRE,7.0,90.0,26-10-2023,2.0,0.0,1,Kethüda,2 + 1,4.0,0.0,3.0,2.0,3.0
126,Startkey Elit2 'den Muradiye Eşyalı 2+1 Daire,12.0,75.0,11-11-2023,2.0,4.0,1,Muradiye,2 + 1,4.0,0.0,1.0,2.0,2.0
127,Acil yatırımdan kiralık asansörlü daire,15.0,130.0,09-10-2023,6.0,30.0,1,Sakarya,3 + 1,6.0,5.0,1.0,3.0,5.0
128,Manisa Meydan Sitesinde Eşyalı Kiralık 1+1 Daire,15.75,48.0,23-10-2023,5.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
129,Kiralık Daire Muradiye 23 nisan parkı yakını,12.0,120.0,29-10-2023,2.0,5.0,1,Muradiye,3 + 1,5.0,0.0,1.0,3.0,4.0
130,TURGUTLU DA SIFIR KİRALIK 2+1 DAİRE,10.0,115.0,10-11-2023,1.0,0.0,1,Şehitler,2 + 1,4.0,0.0,2.0,2.0,4.0
131,BEYZA GM DEN GÜZELYURT HAVUZKU SİTE İÇERİSİNDE KİRALIK DAİRE,20.0,135.0,15-10-2023,3.0,5.0,1,Güzelyurt,3 + 1,8.0,0.0,0.0,3.0,5.0
132,Manisa Meydan Sitesi Havuz Cepheli Kiralık 1+1 Daire,11.0,45.0,23-10-2023,6.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
133,Startkey Elit2'den Muradiye Mah.Çavuş Sok.2+1 EŞYALI DAİRE,12.0,75.0,02-11-2023,2.0,4.0,1,Muradiye,2 + 1,4.0,0.0,1.0,2.0,2.0
134,SALİHLİ SAĞLIKDA KİRALIK DAİRE,8.0,110.0,06-11-2023,1.0,11.0,1,Sağlık,2 + 1,5.0,2.0,3.0,2.0,4.0
135,TURGUTLU EYMEN EMLAK'TAN ERGENEKON MH. 3+1 DOĞALGAZLI KİRALIK DAİRE 🏡,12.5,130.0,05-10-2023,2.0,0.0,2,Ergenekon,3 + 1,4.0,0.0,1.0,3.0,5.0
136,Manisa Meydan Sitesi Havuz Cephe Kiralık 1+1 Daire,12.5,45.0,21-09-2023,3.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
137,Akhisar Ragıpbey Mahallesi'nde 3+1 Kiralık Daire,7.0,130.0,06-11-2023,1.0,20.0,1,Ragıp Bey,3 + 1,4.0,3.0,3.0,3.0,5.0
