,name,price,area_m2,date,floor_number,age,bath_number,district,room_number,total_floor_number,age_new,district_new,room_number_new,area_new
169,SALİHLİ CİN EMLAK!TAN YÖRÜK MAH AVAR CAD ÜZERİNDE KİRALIK DOĞAL GAZLI ASANSÖRLÜ DAİRE,13.0,140.0,25-09-2023,3.0,10.0,1,Yörük,3 + 1,5.0,1.0,1.0,3.0,5.0
170,Akhisar Atatürk Mahallesi'nde 1+1 Kiralık Daire,10.0,85.0,25-09-2023,2.0,0.0,1,Atatürk,1 + 1,3.0,0.0,2.0,1.0,2.0
171,KİRALIK 2+1 DOĞALGAZLI GENİŞ MUTFAKLI BAHÇELİ ZEMİN KAT DAİRE,10.0,160.0,02-11-2023,1.0,26.0,1,Yeni,2 + 1,4.0,5.0,2.0,2.0,6.0
172,Eşyalı kiralık daıre,11.0,100.0,08-11-2023,7.0,5.0,1,İstasyon,2 + 1,8.0,0.0,3.0,2.0,4.0
173,SALİHLİ KURTULUŞ DA KİRALIK 2+1 DAİRE,10.0,110.0,03-11-2023,3.0,3.0,1,Kurtuluş,2 + 1,5.0,0.0,2.0,2.0,4.0
174,BEYZA GM den MANİSA MEYDAN POJESİNDE KİRALIK 1+1 DAİRE,12.0,45.0,05-09-2023,12.0,0.0,1,Uncubozköy,1 + 1,4.0,0.0,1.0,1.0,0.0
175,memura kiralık daire sahibinden,16.0,130.0,02-10-2023,2.0,15.0,1,75. Yıl,3 + 1,2.0,2.0,1.0,3.0,5.0
176,CEYLAN YAPI GAYRİMENKULDEN KİRALIK AİLE APARTMANI HUZURR DOLU DAİRE,9.0,130.0,06-10-2023,3.0,20.0,1,Hürriyet,3 + 1,3.0,3.0,2.0,3.0,5.0
177,Karaali Havuzlu Site İçerisinde Kiralık 2+1 Yüksek Zemin,12.5,80.0,27-10-2023,1.0,3.0,1,Muradiye,2 + 1,3.0,0.0,1.0,2.0,2.0
178,MANİSA'NIN EN PRESTİJLİ PROJESİNDEN 4+1 SIFIR ARA KAT DAİRE,35.0,179.0,16-10-2023,7.0,0.0,2,Güzelyurt,4 + 1,4.0,0.0,0.0,4.0,6.0
179,KOÇAK'TAN ŞEHZADE KONUTLARI/KİRALIK/EŞYALI/EŞYASIZ 3+1 DAİRE,25.0,148.0,10-11-2023,3.0,10.0,2,75. Yıl,3 + 1,8.0,1.0,1.0,3.0,6.0
180,SALİHLİ CİN EMLAK'TAN YÖRÜK MAH KİRALIK 2+1 DOĞALGAZLI ASANSÖRLÜ DAİRE,9.5,100.0,27-10-2023,3.0,4.0,1,Yörük,2 + 1,5.0,0.0,1.0,2.0,4.0
